"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 20939342, LBL: T 2p)","Tipo T, °C (SEN S/N: 20939342, LBL: T 2A)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2iv)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2ev)"
01/16/24 08:00:00,25.20,23.70,24.36,23.41
01/16/24 08:01:00,25.24,23.70,24.43,23.38
01/16/24 08:02:00,25.34,23.88,24.60,21.39
01/16/24 08:03:00,25.71,23.92,24.69,20.80
01/16/24 08:04:00,25.88,25.23,24.78,21.18
01/16/24 08:05:00,25.95,25.27,24.79,22.58
01/16/24 08:06:00,26.06,25.22,24.77,24.46
01/16/24 08:07:00,26.06,25.26,24.87,24.32
01/16/24 08:08:00,26.11,25.21,24.93,24.35
01/16/24 08:09:00,26.21,25.24,25.07,24.21
01/16/24 08:10:00,26.26,25.28,25.18,24.09
01/16/24 08:11:00,26.32,25.29,25.20,24.13
01/16/24 08:12:00,26.41,25.23,25.25,24.23
01/16/24 08:13:00,26.48,25.26,25.32,24.14
01/16/24 08:14:00,26.56,25.31,25.45,24.20
01/16/24 08:15:00,26.61,25.28,25.49,24.19
01/16/24 08:16:00,26.73,25.29,25.59,24.21
01/16/24 08:17:00,26.78,25.27,25.63,24.20
01/16/24 08:18:00,26.82,25.40,25.72,24.26
01/16/24 08:19:00,26.90,25.35,25.89,24.27
01/16/24 08:20:00,26.95,25.42,26.02,24.31
01/16/24 08:21:00,27.06,25.47,26.09,24.51
01/16/24 08:22:00,27.13,25.48,26.19,24.55
01/16/24 08:23:00,27.22,25.48,26.30,24.55
01/16/24 08:24:00,27.31,25.53,26.35,24.55
01/16/24 08:25:00,27.32,25.56,26.46,24.76
01/16/24 08:26:00,27.42,25.63,26.57,24.80
01/16/24 08:27:00,27.49,25.61,26.61,24.92
01/16/24 08:28:00,27.55,25.64,26.74,24.96
01/16/24 08:29:00,27.61,25.80,26.80,25.02
01/16/24 08:30:00,27.65,25.71,26.82,25.03
01/16/24 08:31:00,27.80,25.72,26.94,25.26
01/16/24 08:32:00,27.74,25.80,27.02,25.30
01/16/24 08:33:00,27.91,25.85,27.17,25.34
01/16/24 08:34:00,27.89,25.88,27.22,25.30
01/16/24 08:35:00,28.01,25.90,27.34,25.39
01/16/24 08:36:00,28.12,25.91,27.44,25.39
01/16/24 08:37:00,28.09,25.94,27.46,25.47
01/16/24 08:38:00,28.21,25.99,27.54,25.61
01/16/24 08:39:00,28.25,26.07,27.64,25.62
01/16/24 08:40:00,28.43,26.03,27.80,25.82
01/16/24 08:41:00,28.47,26.14,27.93,26.05
01/16/24 08:42:00,28.53,26.14,28.04,26.21
01/16/24 08:43:00,28.67,26.12,28.24,26.16
01/16/24 08:44:00,28.74,26.15,28.39,26.16
01/16/24 08:45:00,28.84,26.21,28.52,26.42
01/16/24 08:46:00,29.01,26.25,28.72,26.57
01/16/24 08:47:00,29.09,26.33,28.83,26.69
01/16/24 08:48:00,29.22,26.37,28.99,26.92
01/16/24 08:49:00,29.25,26.44,29.15,27.12
01/16/24 08:50:00,29.46,26.50,29.32,27.38
01/16/24 08:51:00,29.47,26.45,29.55,27.36
01/16/24 08:52:00,29.57,26.54,29.64,27.49
01/16/24 08:53:00,29.70,26.56,29.86,27.53
01/16/24 08:54:00,29.89,26.61,30.06,27.63
01/16/24 08:55:00,29.95,26.69,30.17,27.68
01/16/24 08:56:00,30.10,26.74,30.33,27.96
01/16/24 08:57:00,30.14,26.78,30.49,28.08
01/16/24 08:58:00,30.34,26.84,30.73,28.20
01/16/24 08:59:00,30.37,26.89,30.86,28.05
01/16/24 09:00:00,30.51,26.92,30.99,28.19
01/16/24 09:01:00,30.57,27.00,31.13,28.45
01/16/24 09:02:00,30.70,27.01,31.34,28.65
01/16/24 09:03:00,30.78,27.07,31.43,28.84
01/16/24 09:04:00,30.93,27.17,31.64,28.78
01/16/24 09:05:00,31.05,27.20,31.75,28.97
01/16/24 09:06:00,31.21,27.27,31.90,28.85
01/16/24 09:07:00,31.25,27.32,32.10,28.96
01/16/24 09:08:00,31.39,27.35,32.22,29.26
01/16/24 09:09:00,31.43,27.45,32.38,29.26
01/16/24 09:10:00,31.57,27.56,32.51,29.30
01/16/24 09:11:00,31.70,27.63,32.69,29.51
01/16/24 09:12:00,31.83,27.64,32.80,29.64
01/16/24 09:13:00,31.94,27.71,32.99,29.89
01/16/24 09:14:00,32.14,27.85,33.17,30.07
01/16/24 09:15:00,32.16,27.84,33.38,30.08
01/16/24 09:16:00,32.30,27.94,33.56,30.32
01/16/24 09:17:00,32.43,27.94,33.80,30.20
01/16/24 09:18:00,32.56,28.15,33.92,30.57
01/16/24 09:19:00,32.69,28.10,34.18,30.39
01/16/24 09:20:00,32.87,28.20,34.36,30.93
01/16/24 09:21:00,33.06,28.26,34.59,30.82
01/16/24 09:22:00,33.18,28.41,34.74,31.04
01/16/24 09:23:00,33.36,28.41,35.02,30.89
01/16/24 09:24:00,33.59,28.50,35.30,31.35
01/16/24 09:25:00,33.73,28.58,35.60,31.60
01/16/24 09:26:00,33.98,28.70,35.90,31.91
01/16/24 09:27:00,34.17,28.77,36.26,32.30
01/16/24 09:28:00,34.39,28.83,36.57,32.59
01/16/24 09:29:00,34.60,28.93,36.99,32.99
01/16/24 09:30:00,34.84,29.09,37.28,33.26
01/16/24 09:31:00,35.06,29.13,37.61,33.49
01/16/24 09:32:00,35.31,29.18,38.00,33.66
01/16/24 09:33:00,35.58,29.38,38.33,33.83
01/16/24 09:34:00,35.78,29.45,38.65,33.89
01/16/24 09:35:00,36.01,29.52,38.94,34.18
01/16/24 09:36:00,36.21,29.67,39.25,34.10
01/16/24 09:37:00,36.46,29.76,39.59,34.51
01/16/24 09:38:00,36.64,29.81,39.81,34.57
01/16/24 09:39:00,36.91,29.98,40.15,34.79
01/16/24 09:40:00,37.15,30.12,40.30,34.93
01/16/24 09:41:00,37.28,30.20,40.47,35.21
01/16/24 09:42:00,37.51,30.37,40.63,35.52
01/16/24 09:43:00,37.63,30.50,40.78,35.68
01/16/24 09:44:00,37.81,30.58,41.00,35.77
01/16/24 09:45:00,37.95,30.69,41.24,35.78
01/16/24 09:46:00,38.15,30.81,41.43,36.33
01/16/24 09:47:00,38.35,31.00,41.62,36.65
01/16/24 09:48:00,38.54,31.07,41.85,36.95
01/16/24 09:49:00,38.73,31.21,42.14,37.23
01/16/24 09:50:00,38.85,31.35,42.41,37.14
01/16/24 09:51:00,39.02,31.47,42.60,37.16
01/16/24 09:52:00,39.28,31.59,42.88,37.22
01/16/24 09:53:00,39.40,31.73,42.98,37.44
01/16/24 09:54:00,39.63,31.90,43.25,37.85
01/16/24 09:55:00,39.84,31.97,43.55,37.70
01/16/24 09:56:00,40.02,32.13,43.74,37.93
01/16/24 09:57:00,40.22,32.31,44.01,38.31
01/16/24 09:58:00,40.46,32.38,44.25,38.70
01/16/24 09:59:00,40.72,32.52,44.55,38.75
01/16/24 10:00:00,40.87,32.70,44.87,38.40
01/16/24 10:01:00,41.17,32.82,45.13,38.88
01/16/24 10:02:00,41.30,33.01,45.30,38.67
01/16/24 10:03:00,41.53,33.10,45.56,38.97
01/16/24 10:04:00,41.76,33.20,45.73,39.06
01/16/24 10:05:00,42.05,33.38,45.98,39.03
01/16/24 10:06:00,42.15,33.52,46.14,39.21
01/16/24 10:07:00,42.33,33.68,46.30,39.33
01/16/24 10:08:00,42.56,33.83,46.43,39.17
01/16/24 10:09:00,42.71,33.96,46.45,39.43
01/16/24 10:10:00,42.84,34.15,46.53,39.50
01/16/24 10:11:00,42.95,34.23,46.60,39.73
01/16/24 10:12:00,43.07,34.40,46.76,39.18
01/16/24 10:13:00,43.19,34.64,46.84,39.62
01/16/24 10:14:00,43.34,34.68,46.96,39.20
01/16/24 10:15:00,43.48,34.88,46.98,39.16
01/16/24 10:16:00,43.53,34.99,46.95,39.74
01/16/24 10:17:00,43.74,35.21,47.09,39.71
01/16/24 10:18:00,43.80,35.31,47.05,40.25
01/16/24 10:19:00,43.95,35.43,47.17,40.02
01/16/24 10:20:00,44.13,35.58,47.25,39.96
01/16/24 10:21:00,44.24,35.72,47.27,39.96
01/16/24 10:22:00,44.34,35.88,47.31,39.66
01/16/24 10:23:00,44.43,36.09,47.22,39.83
01/16/24 10:24:00,44.57,36.23,47.24,40.16
01/16/24 10:25:00,44.63,36.34,47.25,40.03
01/16/24 10:26:00,44.74,36.57,47.34,40.28
01/16/24 10:27:00,44.84,36.62,47.46,40.18
01/16/24 10:28:00,44.98,36.75,47.48,40.19
01/16/24 10:29:00,45.09,36.86,47.57,40.16
01/16/24 10:30:00,45.24,37.03,47.58,40.36
01/16/24 10:31:00,45.35,37.17,47.67,40.15
01/16/24 10:32:00,45.53,37.33,47.82,40.46
01/16/24 10:33:00,45.61,37.49,47.81,40.83
01/16/24 10:34:00,45.80,37.57,48.01,40.33
01/16/24 10:35:00,45.98,37.71,48.22,40.89
01/16/24 10:36:00,46.19,37.89,48.40,40.49
01/16/24 10:37:00,46.39,38.05,48.53,40.61
01/16/24 10:38:00,46.46,38.21,48.67,40.71
01/16/24 10:39:00,46.57,38.29,48.66,40.94
01/16/24 10:40:00,46.77,38.48,48.81,40.92
