"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 20939342, LBL: T 2p)","Tipo T, °C (SEN S/N: 20939342, LBL: T 2C)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2iv)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2ev)"
01/05/24 15:00:00,-888.88,78.06,63.84,48.38
01/05/24 15:01:00,-888.88,76.85,63.49,48.11
01/05/24 15:02:00,-888.88,75.19,63.18,47.74
01/05/24 15:03:00,-888.88,76.95,62.95,48.33
01/05/24 15:04:00,-888.88,76.73,62.73,48.36
01/05/24 15:05:00,-888.88,76.67,62.65,48.41
01/05/24 15:06:00,-888.88,76.70,62.44,48.03
01/05/24 15:07:00,-888.88,76.06,62.30,48.34
01/05/24 15:08:00,-888.88,75.97,62.13,48.13
01/05/24 15:09:00,-888.88,75.76,61.98,47.76
01/05/24 15:10:00,-888.88,74.99,61.80,47.41
01/05/24 15:11:00,-888.88,75.03,61.58,47.44
01/05/24 15:12:00,-888.88,74.65,61.39,47.55
01/05/24 15:13:00,-888.88,74.72,61.23,47.63
01/05/24 15:14:00,-888.88,74.04,61.02,47.30
01/05/24 15:15:00,-888.88,73.57,60.94,47.02
01/05/24 15:16:00,-888.88,73.55,60.90,47.68
01/05/24 15:17:00,-888.88,72.99,60.73,47.10
01/05/24 15:18:00,-888.88,72.74,60.48,47.07
01/05/24 15:19:00,-888.88,72.66,60.42,47.32
01/05/24 15:20:00,-888.88,73.16,60.36,46.99
01/05/24 15:21:00,-888.88,72.77,60.26,46.79
01/05/24 15:22:00,-888.88,71.41,60.08,46.25
01/05/24 15:23:00,-888.88,71.78,60.00,46.83
01/05/24 15:24:00,-888.88,71.91,59.78,46.80
01/05/24 15:25:00,-888.88,71.64,59.73,47.12
01/05/24 15:26:00,-888.88,70.80,59.51,46.73
01/05/24 15:27:00,-888.88,70.66,59.47,46.68
01/05/24 15:28:00,-888.88,70.49,59.29,47.02
01/05/24 15:29:00,-888.88,70.23,59.12,47.10
01/05/24 15:30:00,-888.88,70.28,59.04,46.75
01/05/24 15:31:00,-888.88,69.75,58.90,46.60
01/05/24 15:32:00,-888.88,69.44,58.74,46.68
01/05/24 15:33:00,-888.88,68.83,58.64,46.51
01/05/24 15:34:00,-888.88,68.37,58.35,46.23
01/05/24 15:35:00,-888.88,68.25,58.16,46.38
01/05/24 15:36:00,-888.88,67.90,58.01,46.13
01/05/24 15:37:00,-888.88,67.54,57.86,46.13
01/05/24 15:38:00,-888.88,67.28,57.68,46.21
01/05/24 15:39:00,-888.88,67.07,57.49,46.11
01/05/24 15:40:00,-888.88,66.58,57.26,45.97
01/05/24 15:41:00,-888.88,65.54,57.08,45.39
01/05/24 15:42:00,-888.88,65.48,56.86,44.61
01/05/24 15:43:00,-888.88,65.19,56.54,44.28
01/05/24 15:44:00,-888.88,63.97,56.17,43.58
01/05/24 15:45:00,-888.88,63.82,55.76,43.30
01/05/24 15:46:00,-888.88,63.40,55.43,42.85
01/05/24 15:47:00,-888.88,63.35,55.09,43.05
01/05/24 15:48:00,-888.88,62.50,54.75,42.93
01/05/24 15:49:00,-888.88,59.94,54.45,42.40
01/05/24 15:50:00,-888.88,58.50,53.95,41.92
01/05/24 15:51:00,-888.88,59.71,53.42,41.29
01/05/24 15:52:00,-888.88,59.87,52.84,40.66
01/05/24 15:53:00,-888.88,59.62,52.39,40.21
01/05/24 15:54:00,-888.88,59.14,51.72,39.37
01/05/24 15:55:00,-888.88,58.79,51.26,39.09
01/05/24 15:56:00,-888.88,58.68,50.79,38.65
01/05/24 15:57:00,-888.88,58.27,50.39,38.46
01/05/24 15:58:00,-888.88,56.61,49.91,38.08
01/05/24 15:59:00,-888.88,56.79,49.45,37.48
01/05/24 16:00:00,-888.88,56.63,48.85,37.38
01/05/24 16:01:00,-888.88,56.54,48.31,36.96
01/05/24 16:02:00,-888.88,56.35,47.82,36.86
01/05/24 16:03:00,-888.88,55.66,47.24,36.32
01/05/24 16:04:00,-888.88,55.73,46.85,36.14
01/05/24 16:05:00,-888.88,55.43,46.43,36.15
01/05/24 16:06:00,-888.88,55.21,46.08,36.08
01/05/24 16:07:00,-888.88,54.98,45.69,35.78
01/05/24 16:08:00,-888.88,54.52,45.32,35.55
01/05/24 16:09:00,-888.88,54.61,45.02,35.35
01/05/24 16:10:00,-888.88,53.37,44.70,34.89
01/05/24 16:11:00,-888.88,53.20,44.39,34.43
01/05/24 16:12:00,-888.88,53.11,44.11,34.37
01/05/24 16:13:00,-888.88,53.35,43.87,34.36
01/05/24 16:14:00,-888.88,52.13,43.59,34.24
01/05/24 16:15:00,-888.88,52.79,43.37,34.23
01/05/24 16:16:00,-888.88,52.80,43.16,34.28
01/05/24 16:17:00,-888.88,51.19,42.96,33.84
01/05/24 16:18:00,-888.88,51.28,42.76,33.73
01/05/24 16:19:00,-888.88,51.43,42.54,33.75
01/05/24 16:20:00,-888.88,51.22,42.37,33.46
01/05/24 16:21:00,-888.88,50.83,42.17,33.48
01/05/24 16:22:00,-888.88,50.13,41.97,33.23
01/05/24 16:23:00,-888.88,51.00,41.90,33.40
01/05/24 16:24:00,-888.88,50.96,41.72,33.27
01/05/24 16:25:00,-888.88,50.88,41.59,33.48
01/05/24 16:26:00,-888.88,50.86,41.44,33.60
01/05/24 16:27:00,-888.88,50.57,41.41,33.43
01/05/24 16:28:00,-888.88,50.42,41.25,33.42
01/05/24 16:29:00,-888.88,50.27,41.13,33.40
01/05/24 16:30:00,-888.88,49.62,41.05,33.18
01/05/24 16:31:00,-888.88,49.77,40.97,33.09
01/05/24 16:32:00,-888.88,49.26,40.79,32.79
01/05/24 16:33:00,-888.88,49.32,40.66,32.93
01/05/24 16:34:00,-888.88,49.01,40.54,32.73
01/05/24 16:35:00,-888.88,48.84,40.44,32.74
01/05/24 16:36:00,-888.88,48.83,40.32,32.54
01/05/24 16:37:00,-888.88,48.75,40.15,32.59
01/05/24 16:38:00,-888.88,48.41,40.03,32.53
01/05/24 16:39:00,-888.88,48.20,39.93,32.33
01/05/24 16:40:00,-888.88,47.84,39.76,32.07
01/05/24 16:41:00,-888.88,47.60,39.58,31.96
01/05/24 16:42:00,-888.88,47.45,39.43,31.83
01/05/24 16:43:00,-888.88,47.41,39.32,31.71
01/05/24 16:44:00,-888.88,46.93,39.10,31.60
01/05/24 16:45:00,-888.88,46.33,38.86,31.42
01/05/24 16:46:00,-888.88,46.75,38.76,31.50
01/05/24 16:47:00,-888.88,46.42,38.54,31.16
01/05/24 16:48:00,-888.88,46.50,38.39,31.29
01/05/24 16:49:00,-888.88,46.35,38.25,31.24
01/05/24 16:50:00,-888.88,46.17,38.11,31.04
01/05/24 16:51:00,-888.88,45.53,37.98,30.93
01/05/24 16:52:00,-888.88,45.23,37.94,30.66
01/05/24 16:53:00,-888.88,45.00,37.69,30.53
01/05/24 16:54:00,-888.88,44.98,37.50,30.50
01/05/24 16:55:00,-888.88,45.25,37.35,30.39
01/05/24 16:56:00,-888.88,44.99,37.31,30.43
01/05/24 16:57:00,-888.88,45.05,37.18,30.28
01/05/24 16:58:00,-888.88,44.97,37.01,30.31
01/05/24 16:59:00,-888.88,44.62,36.89,30.35
01/05/24 17:00:00,-888.88,44.49,36.77,30.36
01/05/24 17:01:00,-888.88,44.06,36.72,30.24
01/05/24 17:02:00,-888.88,43.86,36.55,30.05
01/05/24 17:03:00,-888.88,43.83,36.41,30.03
01/05/24 17:04:00,-888.88,43.73,36.33,29.87
01/05/24 17:05:00,-888.88,43.88,36.29,29.98
01/05/24 17:06:00,-888.88,43.46,36.14,29.84
01/05/24 17:07:00,-888.88,43.60,36.06,29.86
01/05/24 17:08:00,-888.88,43.26,35.95,29.67
01/05/24 17:09:00,-888.88,42.65,35.84,29.47
01/05/24 17:10:00,-888.88,42.36,35.74,29.34
01/05/24 17:11:00,-888.88,42.80,35.60,29.35
01/05/24 17:12:00,-888.88,42.29,35.51,29.17
01/05/24 17:13:00,-888.88,42.38,35.28,29.11
01/05/24 17:14:00,-888.88,42.39,35.22,29.12
01/05/24 17:15:00,-888.88,41.99,35.11,28.93
01/05/24 17:16:00,-888.88,41.77,34.91,28.81
01/05/24 17:17:00,-888.88,41.77,34.84,28.78
01/05/24 17:18:00,-888.88,41.71,34.71,28.78
01/05/24 17:19:00,-888.88,41.46,34.62,28.57
01/05/24 17:20:00,-888.88,41.49,34.54,28.49
01/05/24 17:21:00,-888.88,41.24,34.35,28.41
01/05/24 17:22:00,-888.88,40.89,34.28,28.33
01/05/24 17:23:00,-888.88,40.45,34.18,28.12
01/05/24 17:24:00,-888.88,40.60,33.98,28.08
01/05/24 17:25:00,-888.88,40.69,33.87,28.20
