"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654196, LBL: T 1p)","Tipo T, °C (SEN S/N: 21654196, LBL: T 1a)","Tipo K, °C (SEN S/N: 21654196, LBL: T 1 iv)","Tipo K, °C (SEN S/N: 21654196, LBL: T  1 ev)"
01/16/24 08:00:00,24.41,25.08,22.53,23.18
01/16/24 08:01:00,25.99,25.50,22.38,23.06
01/16/24 08:02:00,26.23,25.27,22.57,23.00
01/16/24 08:03:00,26.30,25.28,22.63,23.13
01/16/24 08:04:00,26.35,25.28,22.96,23.18
01/16/24 08:05:00,26.49,25.33,23.12,23.16
01/16/24 08:06:00,26.53,25.34,23.40,23.17
01/16/24 08:07:00,26.61,25.38,23.46,23.19
01/16/24 08:08:00,26.64,25.36,23.46,23.28
01/16/24 08:09:00,26.76,25.34,23.47,23.29
01/16/24 08:10:00,26.83,25.37,23.49,23.30
01/16/24 08:11:00,26.94,25.35,23.55,23.44
01/16/24 08:12:00,27.01,25.39,23.59,23.52
01/16/24 08:13:00,27.10,25.46,23.62,23.54
01/16/24 08:14:00,27.23,25.49,23.65,23.55
01/16/24 08:15:00,27.25,25.42,23.73,23.66
01/16/24 08:16:00,27.36,25.47,23.74,23.66
01/16/24 08:17:00,27.34,25.44,23.77,23.69
01/16/24 08:18:00,27.48,25.48,23.74,23.69
01/16/24 08:19:00,27.65,25.52,24.10,23.80
01/16/24 08:20:00,27.76,25.59,24.08,23.91
01/16/24 08:21:00,27.92,25.63,24.14,24.02
01/16/24 08:22:00,28.00,25.65,24.23,24.13
01/16/24 08:23:00,28.17,25.67,24.33,24.09
01/16/24 08:24:00,28.20,25.72,24.38,24.23
01/16/24 08:25:00,28.29,25.82,24.41,24.28
01/16/24 08:26:00,28.37,25.81,24.50,24.44
01/16/24 08:27:00,28.48,25.92,24.53,24.47
01/16/24 08:28:00,28.53,25.85,24.58,24.44
01/16/24 08:29:00,28.64,25.94,24.60,24.50
01/16/24 08:30:00,28.74,26.01,24.67,24.55
01/16/24 08:31:00,28.78,25.94,24.71,24.73
01/16/24 08:32:00,28.94,26.09,24.77,24.69
01/16/24 08:33:00,29.03,26.08,24.77,24.83
01/16/24 08:34:00,29.00,26.05,24.83,24.72
01/16/24 08:35:00,29.11,26.11,24.91,24.82
01/16/24 08:36:00,29.21,26.15,24.88,24.83
01/16/24 08:37:00,29.27,26.17,24.93,24.96
01/16/24 08:38:00,29.38,26.19,24.97,25.12
01/16/24 08:39:00,29.53,26.25,25.06,25.10
01/16/24 08:40:00,29.60,26.29,25.10,25.22
01/16/24 08:41:00,29.71,26.35,25.27,25.37
01/16/24 08:42:00,29.82,26.46,25.47,25.43
01/16/24 08:43:00,30.03,26.38,25.53,25.43
01/16/24 08:44:00,30.10,26.43,25.62,25.55
01/16/24 08:45:00,30.22,26.48,25.72,25.70
01/16/24 08:46:00,30.33,26.54,25.80,25.97
01/16/24 08:47:00,30.44,26.59,25.92,26.00
01/16/24 08:48:00,30.59,26.67,26.03,26.17
01/16/24 08:49:00,30.74,26.66,26.10,26.28
01/16/24 08:50:00,30.94,26.72,26.20,26.46
01/16/24 08:51:00,30.97,26.76,26.30,26.33
01/16/24 08:52:00,31.08,26.86,26.41,26.48
01/16/24 08:53:00,31.24,26.88,26.60,26.53
01/16/24 08:54:00,31.46,26.91,26.56,26.63
01/16/24 08:55:00,31.52,26.96,26.58,26.62
01/16/24 08:56:00,31.64,27.02,26.57,27.00
01/16/24 08:57:00,31.80,27.10,26.70,27.11
01/16/24 08:58:00,31.90,27.16,26.84,27.11
01/16/24 08:59:00,32.03,27.20,26.98,27.01
01/16/24 09:00:00,32.17,27.25,27.16,27.20
01/16/24 09:01:00,32.28,27.33,27.33,27.32
01/16/24 09:02:00,32.44,27.40,27.50,27.54
01/16/24 09:03:00,32.64,27.46,27.55,27.56
01/16/24 09:04:00,32.80,27.54,27.62,27.57
01/16/24 09:05:00,32.83,27.59,27.60,27.80
01/16/24 09:06:00,33.00,27.66,27.41,27.63
01/16/24 09:07:00,33.13,27.70,27.33,27.88
01/16/24 09:08:00,33.25,27.79,27.33,27.96
01/16/24 09:09:00,33.45,27.85,27.34,28.07
01/16/24 09:10:00,33.54,27.93,27.42,28.22
01/16/24 09:11:00,33.66,28.00,27.53,28.23
01/16/24 09:12:00,33.85,28.06,27.53,28.39
01/16/24 09:13:00,33.92,28.12,27.63,28.67
01/16/24 09:14:00,34.10,28.21,27.69,28.73
01/16/24 09:15:00,34.23,28.25,27.83,28.81
01/16/24 09:16:00,34.39,28.38,27.79,28.83
01/16/24 09:17:00,34.55,28.40,27.81,28.85
01/16/24 09:18:00,34.67,28.56,27.92,28.94
01/16/24 09:19:00,34.78,28.56,28.04,28.90
01/16/24 09:20:00,34.98,28.64,28.24,29.35
01/16/24 09:21:00,35.16,28.76,28.43,29.12
01/16/24 09:22:00,35.43,28.84,28.62,29.45
01/16/24 09:23:00,35.55,28.91,28.86,29.24
01/16/24 09:24:00,35.80,28.99,29.09,29.42
01/16/24 09:25:00,36.07,29.12,29.16,29.91
