"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654196, LBL: T 1p)","Tipo T, °C (SEN S/N: 21654196, LBL: T 1C)","Tipo K, °C (SEN S/N: 21654196, LBL: T 1 iv)","Tipo K, °C (SEN S/N: 21654196, LBL: T  1 ev)"
02/01/24 08:15:00,27.93,27.41,25.37,22.95
02/01/24 08:16:00,27.91,27.41,25.36,22.98
02/01/24 08:17:00,27.95,22.81,25.18,23.00
02/01/24 08:18:00,28.03,213.10,25.02,23.16
02/01/24 08:19:00,28.06,21.76,24.87,23.00
02/01/24 08:20:00,27.90,22.11,24.90,22.98
02/01/24 08:21:00,28.07,23.79,24.96,23.19
02/01/24 08:22:00,28.13,342.99,24.99,23.15
02/01/24 08:23:00,28.24,390.79,25.04,23.17
02/01/24 08:24:00,28.42,410.26,25.11,23.32
02/01/24 08:25:00,28.54,423.54,25.18,23.34
02/01/24 08:26:00,28.58,463.66,25.27,23.40
02/01/24 08:27:00,28.67,472.28,25.30,23.42
02/01/24 08:28:00,28.79,476.84,25.34,23.36
02/01/24 08:29:00,28.86,451.81,25.39,23.22
02/01/24 08:30:00,28.98,446.73,25.43,23.31
02/01/24 08:31:00,29.08,462.25,25.46,23.46
02/01/24 08:32:00,28.95,378.60,25.35,23.45
02/01/24 08:33:00,28.97,286.04,25.49,23.57
02/01/24 08:34:00,28.81,471.16,25.35,23.44
02/01/24 08:35:00,28.61,547.61,25.13,23.42
02/01/24 08:36:00,28.34,538.18,24.96,23.35
02/01/24 08:37:00,28.24,552.69,24.94,23.51
02/01/24 08:38:00,28.09,538.18,25.03,23.54
02/01/24 08:39:00,27.95,528.71,24.98,23.59
02/01/24 08:40:00,28.01,492.79,24.97,23.56
02/01/24 08:41:00,28.08,441.72,24.90,23.63
02/01/24 08:42:00,28.07,354.13,24.93,23.78
02/01/24 08:43:00,28.22,550.87,25.08,23.64
02/01/24 08:44:00,28.46,538.18,25.12,23.83
02/01/24 08:45:00,28.52,538.18,25.22,23.85
02/01/24 08:46:00,28.79,538.18,25.35,23.65
02/01/24 08:47:00,29.18,-888.88,26.02,23.92
02/01/24 08:48:00,29.61,-888.88,27.33,24.52
02/01/24 08:49:00,30.07,26.33,28.49,25.61
02/01/24 08:50:00,30.54,170.13,29.40,26.42
02/01/24 08:51:00,31.50,-476.69,30.24,27.11
02/01/24 08:52:00,32.82,-89.81,30.93,27.81
02/01/24 08:53:00,34.20,27.00,31.44,28.40
02/01/24 08:54:00,36.72,32.85,33.24,28.93
02/01/24 08:55:00,39.34,36.79,34.66,29.70
02/01/24 08:56:00,40.95,31.55,35.43,30.24
02/01/24 08:57:00,42.11,33.70,36.38,30.77
02/01/24 08:58:00,44.40,39.88,37.74,31.23
02/01/24 08:59:00,46.69,42.38,39.03,32.06
02/01/24 09:00:00,48.84,44.20,40.28,32.65
02/01/24 09:01:00,50.77,45.82,41.49,33.25
02/01/24 09:02:00,52.59,47.03,42.68,34.05
02/01/24 09:03:00,54.32,48.14,43.80,34.60
02/01/24 09:04:00,55.93,48.85,44.99,35.31
02/01/24 09:05:00,57.54,50.39,46.09,36.08
02/01/24 09:06:00,58.93,51.12,47.26,36.55
02/01/24 09:07:00,60.35,52.67,48.14,37.05
02/01/24 09:08:00,61.68,54.08,49.20,37.94
02/01/24 09:09:00,63.06,54.54,50.26,38.48
02/01/24 09:10:00,64.35,56.01,51.29,39.34
02/01/24 09:11:00,65.61,56.67,52.18,40.15
02/01/24 09:12:00,66.71,58.00,53.03,40.99
02/01/24 09:13:00,67.89,58.76,54.05,41.67
02/01/24 09:14:00,69.03,59.48,54.99,42.60
02/01/24 09:15:00,70.17,60.85,55.94,43.47
02/01/24 09:16:00,71.24,61.68,56.82,44.36
02/01/24 09:17:00,72.36,62.58,57.70,44.98
02/01/24 09:18:00,73.34,63.52,58.62,45.65
02/01/24 09:19:00,74.45,64.20,59.47,45.92
02/01/24 09:20:00,75.43,65.11,60.29,46.26
02/01/24 09:21:00,76.34,65.41,61.01,46.37
02/01/24 09:22:00,77.19,66.69,61.73,46.73
02/01/24 09:23:00,78.17,67.15,62.39,46.68
02/01/24 09:24:00,79.16,67.83,63.12,47.68
02/01/24 09:25:00,80.11,68.81,63.83,48.42
02/01/24 09:26:00,81.10,69.35,64.63,48.21
02/01/24 09:27:00,82.01,70.43,65.23,48.87
02/01/24 09:28:00,82.90,70.68,65.87,49.50
02/01/24 09:29:00,83.80,71.68,66.56,49.86
02/01/24 09:30:00,84.72,72.16,67.25,49.80
02/01/24 09:31:00,85.56,72.47,67.87,49.92
02/01/24 09:32:00,86.40,73.36,68.58,50.43
02/01/24 09:33:00,87.31,74.50,69.10,50.44
02/01/24 09:34:00,88.17,75.19,69.73,50.73
02/01/24 09:35:00,88.96,75.97,70.29,51.12
02/01/24 09:36:00,89.69,75.94,71.06,52.08
02/01/24 09:37:00,90.57,76.10,71.73,52.28
02/01/24 09:38:00,91.36,77.18,72.22,52.29
02/01/24 09:39:00,92.13,78.05,72.80,53.17
02/01/24 09:40:00,92.81,78.14,73.38,53.73
02/01/24 09:41:00,93.52,79.02,73.98,54.37
02/01/24 09:42:00,94.25,79.67,74.56,54.44
02/01/24 09:43:00,95.01,80.73,75.11,54.49
02/01/24 09:44:00,95.81,81.15,75.62,55.12
02/01/24 09:45:00,96.51,81.38,76.11,55.77
02/01/24 09:46:00,97.36,82.03,76.49,56.22
02/01/24 09:47:00,98.00,82.95,77.03,57.16
02/01/24 09:48:00,98.68,83.48,77.54,58.02
02/01/24 09:49:00,99.54,83.72,78.01,58.38
02/01/24 09:50:00,100.09,84.27,78.53,58.69
02/01/24 09:51:00,100.80,85.45,79.06,59.21
02/01/24 09:52:00,101.47,85.49,79.54,59.83
02/01/24 09:53:00,102.00,85.85,79.98,59.78
02/01/24 09:54:00,102.71,86.25,80.35,59.48
02/01/24 09:55:00,103.39,87.64,80.84,60.15
02/01/24 09:56:00,104.15,87.66,81.36,60.65
02/01/24 09:57:00,104.83,88.26,81.83,60.51
02/01/24 09:58:00,105.35,88.38,82.20,60.92
02/01/24 09:59:00,106.16,89.20,82.71,61.20
02/01/24 10:00:00,106.68,89.67,83.10,62.04
02/01/24 10:01:00,107.36,89.87,83.75,63.41
02/01/24 10:02:00,108.13,90.27,84.23,62.74
02/01/24 10:03:00,108.83,91.23,84.53,62.34
