"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654196, LBL: T 1p)","Tipo T, °C (SEN S/N: 21654196, LBL: T 1 c)","Tipo K, °C (SEN S/N: 21654196, LBL: T 1 iv)","Tipo K, °C (SEN S/N: 21654196, LBL: T  1 ev)"
12/21/23 16:00:00,38.80,38.12,32.40,30.42
12/21/23 16:01:00,38.85,38.50,32.73,30.63
12/21/23 16:02:00,38.40,38.67,32.90,30.81
12/21/23 16:03:00,38.40,38.69,32.92,30.87
12/21/23 16:04:00,37.97,38.75,32.65,30.67
12/21/23 16:05:00,37.69,38.82,32.68,30.59
12/21/23 16:06:00,37.76,38.88,32.67,30.43
12/21/23 16:07:00,37.44,38.92,32.70,30.37
12/21/23 16:08:00,37.16,39.09,32.82,30.32
12/21/23 16:09:00,37.01,39.09,32.81,30.29
12/21/23 16:10:00,36.76,39.10,32.63,29.99
12/21/23 16:11:00,36.62,39.05,32.58,29.81
12/21/23 16:12:00,36.54,39.00,32.59,29.59
12/21/23 16:13:00,36.31,38.98,32.32,29.44
12/21/23 16:14:00,36.38,39.04,32.67,29.46
12/21/23 16:15:00,36.24,38.97,32.32,29.30
12/21/23 16:16:00,36.34,38.86,32.45,29.07
12/21/23 16:17:00,35.99,38.84,32.00,28.86
12/21/23 16:18:00,35.88,38.74,31.89,28.78
12/21/23 16:19:00,35.90,38.76,32.08,28.62
12/21/23 16:20:00,35.50,38.61,32.04,28.45
12/21/23 16:21:00,35.53,38.52,31.91,28.31
12/21/23 16:22:00,35.81,38.47,31.87,28.22
12/21/23 16:23:00,35.59,38.47,31.47,28.16
12/21/23 16:24:00,35.29,38.36,31.31,28.06
12/21/23 16:25:00,35.23,38.34,31.08,27.94
12/21/23 16:26:00,35.06,38.22,31.29,27.89
12/21/23 16:27:00,34.91,38.12,31.07,27.82
12/21/23 16:28:00,34.86,38.07,31.30,27.82
12/21/23 16:29:00,34.81,37.95,31.16,27.72
12/21/23 16:30:00,34.74,37.81,31.09,27.71
12/21/23 16:31:00,34.67,37.87,30.95,27.55
