"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654196, LBL: T 1p)","Tipo T, °C (SEN S/N: 21654196, LBL: T 1 A)","Tipo K, °C (SEN S/N: 21654196, LBL: T 1 iv)","Tipo K, °C (SEN S/N: 21654196, LBL: T  1 ev)"
12/30/23 08:00:00,29.57,26.06,29.95,26.73
12/30/23 08:01:00,29.69,26.16,30.10,26.89
12/30/23 08:02:00,29.87,26.37,30.38,27.08
12/30/23 08:03:00,29.94,26.52,30.52,27.13
12/30/23 08:04:00,30.10,26.65,30.69,27.13
12/30/23 08:05:00,30.13,26.78,30.80,27.30
12/30/23 08:06:00,30.22,26.96,30.84,27.21
12/30/23 08:07:00,30.30,27.05,30.92,27.39
12/30/23 08:08:00,30.38,27.18,31.00,27.51
12/30/23 08:09:00,30.47,27.27,31.03,27.68
12/30/23 08:10:00,30.54,27.40,31.02,27.55
12/30/23 08:11:00,30.60,27.59,31.11,27.56
12/30/23 08:12:00,30.75,27.70,31.20,27.66
12/30/23 08:13:00,30.81,27.87,31.19,27.85
12/30/23 08:14:00,30.86,27.94,31.26,27.76
12/30/23 08:15:00,30.95,28.07,31.33,27.78
12/30/23 08:16:00,31.10,28.20,31.42,27.88
12/30/23 08:17:00,31.16,28.40,31.52,27.88
12/30/23 08:18:00,31.35,28.51,31.75,28.02
12/30/23 08:19:00,31.59,28.62,31.83,28.14
12/30/23 08:20:00,31.77,28.77,32.01,28.34
12/30/23 08:21:00,31.92,28.91,32.33,28.63
12/30/23 08:22:00,32.12,29.05,32.76,29.31
12/30/23 08:23:00,32.41,29.19,33.28,29.78
12/30/23 08:24:00,32.61,29.34,33.81,29.87
12/30/23 08:25:00,33.04,29.54,34.40,30.20
12/30/23 08:26:00,33.47,29.73,35.06,30.53
12/30/23 08:27:00,33.87,29.93,35.55,30.94
12/30/23 08:28:00,34.37,30.19,36.08,31.34
12/30/23 08:29:00,34.79,30.38,36.48,31.28
12/30/23 08:30:00,35.08,30.66,36.84,31.66
12/30/23 08:31:00,35.42,30.91,37.23,32.04
12/30/23 08:32:00,35.81,31.12,37.74,32.54
12/30/23 08:33:00,36.23,31.43,38.19,32.68
12/30/23 08:34:00,36.66,31.58,38.60,33.10
12/30/23 08:35:00,37.05,31.81,39.05,33.61
12/30/23 08:36:00,37.49,32.13,39.50,33.99
12/30/23 08:37:00,37.84,32.52,39.96,34.19
12/30/23 08:38:00,38.27,32.71,40.53,34.94
12/30/23 08:39:00,38.66,32.99,40.96,35.29
12/30/23 08:40:00,39.13,33.35,41.40,35.51
12/30/23 08:41:00,39.48,33.55,41.91,35.54
12/30/23 08:42:00,39.90,33.89,42.38,35.72
12/30/23 08:43:00,40.42,34.23,42.85,36.60
12/30/23 08:44:00,40.84,34.50,43.36,37.15
12/30/23 08:45:00,41.26,34.88,43.88,37.59
12/30/23 08:46:00,41.74,35.13,44.45,38.02
12/30/23 08:47:00,42.22,35.52,45.00,38.38
12/30/23 08:48:00,42.65,35.93,45.52,38.39
12/30/23 08:49:00,43.10,36.29,46.07,39.13
12/30/23 08:50:00,43.57,36.63,46.60,39.09
12/30/23 08:51:00,44.02,36.96,47.14,39.59
12/30/23 08:52:00,44.51,37.32,47.75,40.16
12/30/23 08:53:00,44.97,37.71,48.14,40.42
12/30/23 08:54:00,45.31,38.03,48.58,40.76
12/30/23 08:55:00,45.72,38.48,48.96,41.33
12/30/23 08:56:00,46.13,38.79,49.47,41.90
12/30/23 08:57:00,46.71,39.20,50.03,42.36
12/30/23 08:58:00,47.25,39.64,50.49,42.78
12/30/23 08:59:00,47.73,39.95,51.05,42.36
12/30/23 09:00:00,48.22,40.39,51.65,42.88
12/30/23 09:01:00,48.79,40.77,52.12,43.53
12/30/23 09:02:00,49.22,41.16,52.64,43.79
12/30/23 09:03:00,49.66,41.62,53.18,44.41
12/30/23 09:04:00,50.17,42.08,53.74,44.64
12/30/23 09:05:00,50.66,42.43,54.19,44.93
12/30/23 09:06:00,51.04,42.91,54.65,44.51
12/30/23 09:07:00,51.57,43.39,55.11,45.14
12/30/23 09:08:00,52.09,43.75,55.54,45.54
12/30/23 09:09:00,52.57,44.17,55.95,45.85
12/30/23 09:10:00,53.07,44.66,56.57,46.68
12/30/23 09:11:00,53.55,45.10,56.95,47.20
12/30/23 09:12:00,54.00,45.47,57.37,47.15
12/30/23 09:13:00,54.48,45.98,57.83,48.31
12/30/23 09:14:00,54.92,46.44,58.32,48.65
12/30/23 09:15:00,55.36,46.88,58.74,48.47
12/30/23 09:16:00,55.79,47.35,59.15,48.72
12/30/23 09:17:00,56.22,47.83,59.56,49.69
12/30/23 09:18:00,56.66,48.23,60.09,49.59
