"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 20939342, LBL: T 2p)","Tipo T, °C (SEN S/N: 20939342, LBL: T 2A)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2iv)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2ev)"
01/25/24 14:00:00,93.76,88.17,76.61,60.07
01/25/24 14:01:00,93.70,88.13,76.53,59.28
01/25/24 14:02:00,93.73,88.09,76.31,59.98
01/25/24 14:03:00,93.87,88.20,76.17,60.22
01/25/24 14:04:00,93.87,88.37,76.06,58.96
01/25/24 14:05:00,93.85,88.28,76.34,59.80
01/25/24 14:06:00,93.89,88.34,76.12,60.04
01/25/24 14:07:00,93.81,88.28,76.04,59.12
01/25/24 14:08:00,93.83,88.23,76.16,59.24
01/25/24 14:09:00,93.85,88.17,75.97,60.14
01/25/24 14:10:00,93.83,88.31,75.98,59.88
01/25/24 14:11:00,93.79,88.32,75.84,59.29
01/25/24 14:12:00,93.82,88.14,75.74,59.11
01/25/24 14:13:00,93.67,88.01,75.53,58.55
01/25/24 14:14:00,93.56,87.89,75.30,59.68
01/25/24 14:15:00,93.38,87.93,75.23,58.79
01/25/24 14:16:00,93.09,87.77,75.07,58.60
01/25/24 14:17:00,93.07,87.30,73.79,58.21
01/25/24 14:18:00,92.99,87.11,73.25,58.24
01/25/24 14:19:00,92.93,86.96,72.13,59.04
01/25/24 14:20:00,92.78,86.93,72.68,59.28
01/25/24 14:21:00,92.61,86.82,73.20,58.64
01/25/24 14:22:00,92.60,86.73,73.26,58.39
01/25/24 14:23:00,92.57,86.71,73.30,58.20
01/25/24 14:24:00,92.41,86.68,73.31,58.52
01/25/24 14:25:00,92.27,86.53,73.37,57.28
01/25/24 14:26:00,92.22,86.38,73.13,56.85
01/25/24 14:27:00,91.95,86.19,73.06,56.52
01/25/24 14:28:00,91.82,85.97,72.68,56.84
01/25/24 14:29:00,91.61,85.84,72.70,57.04
01/25/24 14:30:00,91.56,85.67,72.46,57.30
01/25/24 14:31:00,91.33,85.59,72.46,57.20
01/25/24 14:32:00,91.05,85.36,72.19,56.24
01/25/24 14:33:00,90.78,84.87,71.97,55.30
01/25/24 14:34:00,90.54,84.43,71.79,53.67
01/25/24 14:35:00,90.21,83.82,70.67,54.21
01/25/24 14:36:00,90.09,83.76,70.70,54.94
01/25/24 14:37:00,89.92,83.68,70.51,55.72
