"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 20939342, LBL: T 2p)","Tipo T, °C (SEN S/N: 20939342, LBL: T 2C)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2iv)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2ev)"
02/01/24 08:15:00,28.75,26.51,25.61,23.73
02/01/24 08:16:00,28.77,26.58,25.57,23.77
02/01/24 08:17:00,28.85,26.57,25.61,23.77
02/01/24 08:18:00,28.82,26.62,25.59,23.80
02/01/24 08:19:00,28.82,26.65,25.63,23.77
02/01/24 08:20:00,28.85,26.65,25.72,23.81
02/01/24 08:21:00,28.79,20.28,25.57,23.86
02/01/24 08:22:00,28.60,19.20,25.67,24.07
02/01/24 08:23:00,28.66,20.07,25.84,24.51
02/01/24 08:24:00,28.69,20.54,26.01,24.44
02/01/24 08:25:00,28.90,21.24,25.99,24.38
02/01/24 08:26:00,29.09,21.55,26.01,24.42
02/01/24 08:27:00,29.31,21.85,26.02,24.45
02/01/24 08:28:00,29.56,22.05,26.11,24.48
02/01/24 08:29:00,29.82,22.22,26.13,24.58
02/01/24 08:30:00,29.91,20.56,27.22,24.67
02/01/24 08:31:00,30.19,22.11,27.28,26.26
02/01/24 08:32:00,30.56,23.36,28.33,26.88
02/01/24 08:33:00,31.16,25.00,29.57,27.92
02/01/24 08:34:00,32.40,26.29,30.82,28.87
02/01/24 08:35:00,34.15,27.82,31.94,29.76
02/01/24 08:36:00,36.22,30.51,33.04,30.39
02/01/24 08:37:00,38.28,35.38,34.19,31.29
02/01/24 08:38:00,40.29,38.27,35.21,32.04
02/01/24 08:39:00,42.45,39.97,36.34,33.07
02/01/24 08:40:00,44.36,41.88,37.44,34.04
02/01/24 08:41:00,46.10,43.23,38.48,35.05
02/01/24 08:42:00,47.84,44.12,39.47,35.89
02/01/24 08:43:00,49.46,44.74,40.50,36.49
02/01/24 08:44:00,50.93,45.93,41.58,37.18
02/01/24 08:45:00,52.36,46.44,42.60,37.72
02/01/24 08:46:00,53.64,48.21,43.52,38.54
02/01/24 08:47:00,54.89,48.82,44.48,39.28
02/01/24 08:48:00,56.01,49.84,45.38,40.32
02/01/24 08:49:00,57.21,50.87,46.31,41.09
02/01/24 08:50:00,58.30,51.03,47.21,41.69
02/01/24 08:51:00,59.37,51.61,48.11,42.17
02/01/24 08:52:00,60.54,51.98,49.03,42.96
02/01/24 08:53:00,61.57,53.08,49.98,43.10
02/01/24 08:54:00,62.69,54.26,50.70,43.93
02/01/24 08:55:00,63.55,54.51,51.48,44.29
02/01/24 08:56:00,64.58,54.63,52.30,44.69
02/01/24 08:57:00,65.61,56.49,53.01,45.27
02/01/24 08:58:00,66.56,56.16,53.81,45.62
02/01/24 08:59:00,67.47,57.29,54.50,46.46
02/01/24 09:00:00,68.38,57.55,55.24,46.81
02/01/24 09:01:00,69.21,57.37,55.94,47.12
02/01/24 09:02:00,70.10,59.31,56.62,47.92
02/01/24 09:03:00,70.93,60.99,57.37,48.60
02/01/24 09:04:00,71.67,61.89,57.96,48.79
02/01/24 09:05:00,72.54,62.82,58.74,49.70
02/01/24 09:06:00,73.26,62.89,59.42,50.04
02/01/24 09:07:00,74.16,63.35,60.11,50.29
02/01/24 09:08:00,74.94,64.58,60.81,50.61
02/01/24 09:09:00,75.58,65.04,61.45,50.83
02/01/24 09:10:00,76.39,65.80,62.15,51.64
02/01/24 09:11:00,77.12,65.86,62.73,52.16
02/01/24 09:12:00,77.83,67.40,63.33,52.84
02/01/24 09:13:00,78.60,68.10,63.96,53.29
02/01/24 09:14:00,79.30,69.23,64.65,54.27
02/01/24 09:15:00,80.05,70.06,65.36,55.08
02/01/24 09:16:00,80.73,70.60,66.14,55.79
02/01/24 09:17:00,81.32,71.08,66.74,56.22
02/01/24 09:18:00,82.09,71.47,67.39,56.41
02/01/24 09:19:00,82.74,71.68,67.99,56.56
02/01/24 09:20:00,83.44,72.10,68.54,56.95
02/01/24 09:21:00,84.08,71.82,69.05,56.81
02/01/24 09:22:00,84.72,72.11,69.61,57.10
02/01/24 09:23:00,85.42,72.71,69.98,56.69
02/01/24 09:24:00,86.01,74.36,70.48,57.46
02/01/24 09:25:00,86.58,75.01,70.87,57.76
02/01/24 09:26:00,87.14,74.26,71.37,57.73
02/01/24 09:27:00,87.68,74.66,71.95,57.90
02/01/24 09:28:00,88.25,75.92,72.57,58.92
02/01/24 09:29:00,89.03,78.01,73.20,59.53
02/01/24 09:30:00,89.65,77.81,73.81,59.30
02/01/24 09:31:00,90.26,77.82,74.39,58.81
02/01/24 09:32:00,90.82,79.41,74.96,59.35
02/01/24 09:33:00,91.55,79.92,75.43,59.70
02/01/24 09:34:00,92.22,79.87,75.89,60.01
02/01/24 09:35:00,92.86,81.10,76.31,59.94
02/01/24 09:36:00,93.40,81.49,76.70,60.92
02/01/24 09:37:00,93.94,81.29,77.01,60.98
02/01/24 09:38:00,94.61,81.27,77.36,61.55
02/01/24 09:39:00,95.19,82.20,77.72,62.16
02/01/24 09:40:00,95.75,83.05,78.14,62.90
02/01/24 09:41:00,96.37,82.94,78.58,63.55
02/01/24 09:42:00,96.91,82.76,78.99,63.70
02/01/24 09:43:00,97.53,83.01,79.36,63.40
02/01/24 09:44:00,98.09,83.84,79.73,63.89
02/01/24 09:45:00,98.77,84.47,80.14,63.95
02/01/24 09:46:00,99.34,85.04,80.44,64.55
02/01/24 09:47:00,99.83,85.38,80.88,65.10
02/01/24 09:48:00,100.37,85.92,81.24,65.91
02/01/24 09:49:00,100.86,85.11,81.82,66.38
02/01/24 09:50:00,101.33,85.91,82.26,66.74
02/01/24 09:51:00,101.95,85.46,82.66,67.46
02/01/24 09:52:00,102.35,87.09,83.06,67.94
02/01/24 09:53:00,102.96,86.21,83.48,67.72
02/01/24 09:54:00,103.49,86.38,83.89,67.47
02/01/24 09:55:00,104.12,87.63,84.37,68.10
02/01/24 09:56:00,104.56,88.53,84.87,68.47
02/01/24 09:57:00,105.10,87.98,85.33,68.45
02/01/24 09:58:00,105.63,88.74,85.75,68.95
02/01/24 09:59:00,106.21,88.61,86.22,69.07
02/01/24 10:00:00,106.66,89.10,86.49,69.10
02/01/24 10:01:00,107.10,89.68,86.97,69.94
02/01/24 10:02:00,107.51,89.09,87.25,69.52
02/01/24 10:03:00,108.01,86.99,87.41,68.97
02/01/24 10:04:00,108.51,89.01,87.62,68.70
02/01/24 10:05:00,109.08,89.85,87.83,68.74
02/01/24 10:06:00,109.58,89.72,88.02,68.95
02/01/24 10:07:00,109.94,91.73,88.25,69.77
02/01/24 10:08:00,110.46,90.49,88.62,69.15
02/01/24 10:09:00,110.95,91.79,88.93,69.61
02/01/24 10:10:00,111.46,90.90,89.30,69.42
02/01/24 10:11:00,111.90,92.38,89.64,69.72
02/01/24 10:12:00,112.33,93.05,90.00,69.02
