"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 20939342, LBL: T 2p)","Tipo T, °C (SEN S/N: 20939342, LBL: T 2c)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2iv)","Tipo K, °C (SEN S/N: 20939342, LBL: T 2ev)"
12/21/23 16:00:00,30.94,41.86,33.83,26.40
12/21/23 16:01:00,31.93,40.93,32.17,26.03
12/21/23 16:02:00,30.69,40.58,31.87,26.71
12/21/23 16:03:00,27.08,40.64,32.02,26.29
12/21/23 16:04:00,22.21,40.95,31.96,29.59
12/21/23 16:05:00,26.39,40.92,32.43,28.67
12/21/23 16:06:00,31.16,41.20,31.79,28.72
12/21/23 16:07:00,34.53,37.65,31.91,28.15
12/21/23 16:08:00,21.61,32.05,31.49,26.66
12/21/23 16:09:00,21.98,29.53,31.02,27.11
12/21/23 16:10:00,23.64,30.23,31.10,25.99
12/21/23 16:11:00,24.26,30.40,30.92,27.50
12/21/23 16:12:00,24.49,29.85,30.63,26.50
12/21/23 16:13:00,24.96,29.48,30.86,27.80
12/21/23 16:14:00,24.16,30.20,31.28,27.55
12/21/23 16:15:00,23.21,31.45,31.74,27.54
12/21/23 16:16:00,23.37,34.60,31.84,33.02
12/21/23 16:17:00,23.29,35.75,32.13,33.51
12/21/23 16:18:00,22.77,36.09,32.58,32.87
12/21/23 16:19:00,22.28,36.04,32.60,32.45
12/21/23 16:20:00,24.25,35.85,32.58,31.90
12/21/23 16:21:00,22.78,36.08,33.35,32.04
12/21/23 16:22:00,21.43,36.56,33.52,31.56
12/21/23 16:23:00,20.42,36.36,33.64,31.42
12/21/23 16:24:00,19.47,36.28,33.85,31.45
12/21/23 16:25:00,18.88,36.31,33.86,31.40
12/21/23 16:26:00,18.13,37.07,34.17,31.48
12/21/23 16:27:00,17.31,37.24,34.23,30.92
12/21/23 16:28:00,16.80,37.41,34.21,30.57
12/21/23 16:29:00,16.31,37.54,34.22,30.16
12/21/23 16:30:00,15.70,37.53,34.23,29.75
12/21/23 16:31:00,15.29,37.50,34.09,29.36
12/21/23 16:32:00,14.77,37.63,34.00,28.90
12/21/23 16:33:00,14.23,37.60,33.98,28.55
12/21/23 16:34:00,13.84,37.58,33.90,28.36
12/21/23 16:35:00,13.44,37.58,33.74,28.22
12/21/23 16:36:00,13.09,37.40,33.71,27.90
12/21/23 16:37:00,12.83,37.43,33.45,27.68
12/21/23 16:38:00,12.59,37.31,33.36,27.70
12/21/23 16:39:00,12.38,37.31,33.17,27.65
12/21/23 16:40:00,12.32,37.16,33.02,27.49
12/21/23 16:41:00,12.22,37.17,32.86,27.47
12/21/23 16:42:00,12.17,37.08,32.77,27.36
12/21/23 16:43:00,12.25,37.14,32.54,27.30
12/21/23 16:44:00,12.14,36.85,32.58,27.01
12/21/23 16:45:00,12.01,36.81,32.38,26.79
12/21/23 16:46:00,11.70,36.68,32.36,26.78
12/21/23 16:47:00,11.56,36.68,32.23,26.83
12/21/23 16:48:00,11.54,36.58,32.11,26.66
12/21/23 16:49:00,11.46,36.51,32.02,26.60
12/21/23 16:50:00,11.35,36.32,31.98,26.48
12/21/23 16:51:00,11.21,36.29,31.91,26.43
12/21/23 16:52:00,11.12,36.25,31.80,26.43
12/21/23 16:53:00,11.08,36.15,31.68,26.31
12/21/23 16:54:00,11.15,36.04,31.54,26.23
12/21/23 16:55:00,11.10,35.88,31.47,26.15
12/21/23 16:56:00,11.11,35.85,31.37,26.15
12/21/23 16:57:00,11.02,35.82,31.30,26.09
12/21/23 16:58:00,11.16,35.72,31.16,26.05
12/21/23 16:59:00,11.07,35.57,31.11,25.89
12/21/23 17:00:00,10.82,35.46,31.04,25.80
12/21/23 17:01:00,10.80,35.32,30.92,25.68
12/21/23 17:02:00,10.80,35.18,30.82,25.50
12/21/23 17:03:00,10.79,35.09,30.67,25.50
12/21/23 17:04:00,10.85,35.00,30.63,25.44
12/21/23 17:05:00,10.70,35.08,30.57,25.37
12/21/23 17:06:00,10.94,34.95,30.43,25.23
12/21/23 17:07:00,10.86,34.81,30.30,25.35
12/21/23 17:08:00,10.96,34.70,30.19,25.18
12/21/23 17:09:00,11.03,34.48,30.11,25.16
12/21/23 17:10:00,11.01,34.40,29.97,24.92
12/21/23 17:11:00,10.83,34.64,29.82,24.99
12/21/23 17:12:00,11.38,35.01,29.95,24.88
12/21/23 17:13:00,13.72,34.17,29.77,24.74
12/21/23 17:14:00,122.64,33.95,29.07,24.80
12/21/23 17:15:00,94.93,34.00,29.28,24.85
12/21/23 17:16:00,73.50,33.98,29.54,24.91
12/21/23 17:17:00,50.56,33.87,29.60,24.86
12/21/23 17:18:00,29.09,33.76,29.50,24.74
12/21/23 17:19:00,179.72,34.06,29.55,24.79
12/21/23 17:20:00,-888.88,34.08,29.43,24.82
12/21/23 17:21:00,65.18,33.66,29.49,24.70
12/21/23 17:22:00,41.37,33.47,29.47,24.55
12/21/23 17:23:00,15.18,33.09,29.41,24.41
12/21/23 17:24:00,56.06,33.33,28.16,24.24
12/21/23 17:25:00,138.90,33.13,27.87,23.96
12/21/23 17:26:00,1367.46,32.70,27.64,24.02
12/21/23 17:27:00,1310.86,32.53,28.09,23.82
12/21/23 17:28:00,1268.55,32.45,28.21,23.81
12/21/23 17:29:00,1233.04,32.47,28.36,23.65
12/21/23 17:30:00,34.93,33.03,28.31,23.04
12/21/23 17:31:00,34.01,33.38,28.64,23.90
12/21/23 17:32:00,34.48,32.56,28.64,23.50
12/21/23 17:33:00,34.33,32.22,28.54,23.49
12/21/23 17:34:00,34.40,31.98,28.46,23.46
12/21/23 17:35:00,34.22,32.10,28.31,23.37
12/21/23 17:36:00,34.15,31.84,28.20,23.45
12/21/23 17:37:00,34.08,31.74,27.99,23.38
12/21/23 17:38:00,34.00,31.61,27.94,23.26
12/21/23 17:39:00,33.88,31.30,27.67,23.14
12/21/23 17:40:00,33.82,31.23,27.46,23.03
12/21/23 17:41:00,33.59,31.00,27.34,22.83
12/21/23 17:42:00,33.46,30.86,27.18,22.69
12/21/23 17:43:00,33.26,30.53,27.06,22.51
12/21/23 17:44:00,33.15,30.53,26.92,22.49
12/21/23 17:45:00,32.95,30.41,26.72,22.33
12/21/23 17:46:00,32.79,30.30,26.60,22.29
12/21/23 17:47:00,32.71,30.14,26.46,22.24
12/21/23 17:48:00,32.56,29.96,26.33,22.07
12/21/23 17:49:00,32.38,29.82,26.25,22.02
12/21/23 17:50:00,32.22,29.89,26.12,21.96
12/21/23 17:51:00,32.17,29.72,25.97,21.95
12/21/23 17:52:00,31.98,29.47,25.86,21.85
12/21/23 17:53:00,31.88,29.43,25.80,21.80
12/21/23 17:54:00,31.73,29.39,25.70,21.81
12/21/23 17:55:00,31.60,29.25,25.61,21.67
12/21/23 17:56:00,31.50,29.09,25.45,21.64
12/21/23 17:57:00,31.38,29.01,25.42,21.56
12/21/23 17:58:00,31.23,28.84,25.31,21.58
12/21/23 17:59:00,31.14,28.76,25.21,21.50
12/21/23 18:00:00,30.99,28.63,25.11,21.49
12/21/23 18:01:00,30.78,28.54,25.05,21.37
12/21/23 18:02:00,30.73,28.36,24.93,21.33
12/21/23 18:03:00,30.60,28.24,24.84,21.21
12/21/23 18:04:00,30.40,28.14,24.72,21.13
12/21/23 18:05:00,30.25,28.08,24.62,21.08
12/21/23 18:06:00,30.19,27.97,24.60,20.97
12/21/23 18:07:00,30.04,27.88,24.43,20.93
12/21/23 18:08:00,29.90,27.73,24.35,20.86
12/21/23 18:09:00,29.76,27.71,24.30,20.80
12/21/23 18:10:00,29.59,27.53,24.21,20.71
12/21/23 18:11:00,29.54,27.49,24.05,20.65
12/21/23 18:12:00,29.37,27.29,23.98,20.61
12/21/23 18:13:00,29.30,27.28,23.89,20.54
12/21/23 18:14:00,29.09,27.05,23.83,20.39
12/21/23 18:15:00,29.04,26.91,23.65,20.39
12/21/23 18:16:00,28.84,26.78,23.59,20.29
12/21/23 18:17:00,28.79,26.74,23.52,20.21
12/21/23 18:18:00,28.60,26.61,23.42,20.08
12/21/23 18:19:00,28.53,26.51,23.29,20.06
12/21/23 18:20:00,28.34,26.42,23.19,20.00
12/21/23 18:21:00,28.20,26.22,23.07,19.93
12/21/23 18:22:00,28.08,26.10,23.00,19.84
12/21/23 18:23:00,28.02,26.03,22.92,19.77
12/21/23 18:24:00,27.90,25.94,22.84,19.73
12/21/23 18:25:00,27.76,25.86,22.76,19.70
12/21/23 18:26:00,27.65,25.71,22.66,19.60
12/21/23 18:27:00,27.51,25.67,22.63,19.55
12/21/23 18:28:00,27.38,25.65,22.50,19.49
12/21/23 18:29:00,27.27,25.47,22.38,19.42
12/21/23 18:30:00,27.20,25.33,22.29,19.36
12/21/23 18:31:00,27.13,25.25,22.24,19.31
12/21/23 18:32:00,27.00,25.21,22.13,19.23
12/21/23 18:33:00,26.83,25.14,22.06,19.20
12/21/23 18:34:00,26.75,25.01,22.03,19.12
12/21/23 18:35:00,26.64,24.90,21.98,19.09
12/21/23 18:36:00,26.50,24.78,21.90,19.07
12/21/23 18:37:00,26.49,24.78,21.78,19.02
12/21/23 18:38:00,26.41,24.74,21.77,18.91
12/21/23 18:39:00,26.22,24.50,21.67,18.81
12/21/23 18:40:00,26.18,24.42,21.59,18.78
12/21/23 18:41:00,26.15,24.43,21.48,18.78
12/21/23 18:42:00,25.94,24.31,21.42,18.68
12/21/23 18:43:00,25.84,24.28,21.40,18.72
12/21/23 18:44:00,25.71,24.14,21.35,18.69
12/21/23 18:45:00,25.68,24.15,21.23,18.64
12/21/23 18:46:00,25.59,23.95,21.24,18.58
12/21/23 18:47:00,25.46,23.94,21.11,18.52
12/21/23 18:48:00,25.44,23.77,21.04,18.47
12/21/23 18:49:00,25.32,23.70,20.97,18.49
12/21/23 18:50:00,25.29,23.63,20.93,18.36
12/21/23 18:51:00,25.17,23.54,20.87,18.32
12/21/23 18:52:00,25.05,23.48,20.76,18.27
12/21/23 18:53:00,24.98,23.50,20.68,18.26
12/21/23 18:54:00,24.89,23.31,20.74,18.19
12/21/23 18:55:00,24.79,23.30,20.64,18.20
12/21/23 18:56:00,24.74,23.20,20.58,18.11
12/21/23 18:57:00,24.61,23.14,20.50,18.07
12/21/23 18:58:00,24.58,23.09,20.45,18.03
12/21/23 18:59:00,24.50,23.02,20.33,18.07
12/21/23 19:00:00,24.41,22.90,20.34,17.96
12/21/23 19:01:00,24.31,22.86,20.30,17.94
12/21/23 19:02:00,24.25,22.75,20.24,17.86
12/21/23 19:03:00,24.18,22.70,20.15,17.80
12/21/23 19:04:00,24.10,22.63,20.08,17.80
12/21/23 19:05:00,24.00,22.68,20.09,17.68
12/21/23 19:06:00,23.92,22.53,19.96,17.66
12/21/23 19:07:00,23.85,22.48,19.99,17.66
12/21/23 19:08:00,23.79,22.40,19.93,17.57
12/21/23 19:09:00,23.69,22.36,19.85,17.62
12/21/23 19:10:00,23.70,22.24,19.73,17.58
12/21/23 19:11:00,23.59,22.23,19.70,17.49
12/21/23 19:12:00,23.51,22.17,19.63,17.54
12/21/23 19:13:00,23.38,22.06,19.64,17.43
12/21/23 19:14:00,23.36,22.11,19.56,17.38
12/21/23 19:15:00,23.29,22.04,19.50,17.32
12/21/23 19:16:00,23.28,21.98,19.47,17.36
12/21/23 19:17:00,23.20,21.85,19.38,17.29
12/21/23 19:18:00,23.15,21.76,19.40,17.29
12/21/23 19:19:00,23.08,21.68,19.37,17.30
12/21/23 19:20:00,22.97,21.66,19.25,17.25
12/21/23 19:21:00,22.89,21.63,19.24,17.20
12/21/23 19:22:00,22.85,21.60,19.18,17.21
12/21/23 19:23:00,22.74,21.50,19.10,17.14
12/21/23 19:24:00,22.71,21.47,19.08,17.12
