"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654195, LBL: T 3p)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3A)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3iv)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3ev)"
01/16/24 08:00:00,25.16,23.52,24.09,23.24
01/16/24 08:01:00,25.19,23.50,24.21,23.23
01/16/24 08:02:00,25.26,23.56,24.26,23.32
01/16/24 08:03:00,25.32,23.62,24.29,23.39
01/16/24 08:04:00,25.41,23.62,24.37,23.48
01/16/24 08:05:00,25.47,23.68,24.43,23.57
01/16/24 08:06:00,25.53,23.71,24.46,23.64
01/16/24 08:07:00,25.58,23.75,24.58,23.73
01/16/24 08:08:00,25.67,23.80,24.63,23.80
01/16/24 08:09:00,25.69,23.85,24.70,23.81
01/16/24 08:10:00,25.74,23.87,24.76,23.84
01/16/24 08:11:00,25.84,23.93,24.84,24.00
01/16/24 08:12:00,26.22,20.04,25.29,20.94
01/16/24 08:13:00,26.77,19.33,25.51,20.15
01/16/24 08:14:00,26.76,25.24,25.49,19.96
01/16/24 08:15:00,26.73,25.19,25.41,25.65
01/16/24 08:16:00,26.72,25.17,25.53,24.81
01/16/24 08:17:00,26.78,25.20,25.67,24.52
01/16/24 08:18:00,26.84,25.24,25.77,24.36
01/16/24 08:19:00,26.87,25.22,25.89,24.21
01/16/24 08:20:00,27.00,25.24,26.03,24.19
01/16/24 08:21:00,27.07,25.30,26.12,24.26
01/16/24 08:22:00,27.14,25.29,26.24,24.21
01/16/24 08:23:00,27.16,25.35,26.37,24.20
01/16/24 08:24:00,27.28,25.36,26.48,24.26
01/16/24 08:25:00,27.33,25.42,26.56,24.42
01/16/24 08:26:00,27.39,25.37,26.67,24.45
01/16/24 08:27:00,27.50,25.43,26.79,24.52
01/16/24 08:28:00,27.53,25.47,26.84,24.55
01/16/24 08:29:00,27.60,25.45,26.97,24.62
01/16/24 08:30:00,27.66,25.48,27.03,24.66
01/16/24 08:31:00,27.71,25.51,27.06,24.83
01/16/24 08:32:00,27.74,25.49,27.22,24.86
01/16/24 08:33:00,27.84,25.54,27.29,25.01
01/16/24 08:34:00,27.94,25.59,27.43,24.93
01/16/24 08:35:00,27.98,25.61,27.52,25.05
01/16/24 08:36:00,28.08,25.67,27.64,25.05
01/16/24 08:37:00,28.18,25.69,27.75,25.07
01/16/24 08:38:00,28.24,25.69,27.84,25.27
01/16/24 08:39:00,28.34,25.71,27.99,25.26
01/16/24 08:40:00,28.47,25.76,28.12,25.48
01/16/24 08:41:00,28.55,25.80,28.27,25.70
01/16/24 08:42:00,28.66,25.81,28.41,25.74
01/16/24 08:43:00,28.76,25.83,28.58,25.70
01/16/24 08:44:00,28.86,25.87,28.70,25.79
01/16/24 08:45:00,28.99,25.91,28.83,25.94
01/16/24 08:46:00,29.09,25.90,28.98,26.21
01/16/24 08:47:00,29.16,25.91,29.16,26.28
01/16/24 08:48:00,29.24,26.00,29.33,26.45
01/16/24 08:49:00,29.41,26.04,29.49,26.65
01/16/24 08:50:00,29.51,26.08,29.68,26.87
01/16/24 08:51:00,29.58,26.08,29.85,26.98
01/16/24 08:52:00,29.73,26.12,30.01,27.07
01/16/24 08:53:00,29.86,26.15,30.19,27.07
01/16/24 08:54:00,29.98,26.22,30.34,27.13
01/16/24 08:55:00,30.07,26.22,30.50,27.19
01/16/24 08:56:00,30.19,26.29,30.70,27.43
01/16/24 08:57:00,30.31,26.35,30.84,27.59
01/16/24 08:58:00,30.46,26.40,31.04,27.64
01/16/24 08:59:00,30.57,26.43,31.13,27.53
01/16/24 09:00:00,30.67,26.47,31.31,27.66
01/16/24 09:01:00,30.80,26.50,31.45,27.96
01/16/24 09:02:00,30.93,26.57,31.60,28.15
01/16/24 09:03:00,31.03,26.59,31.74,28.31
01/16/24 09:04:00,31.15,26.67,31.90,28.29
01/16/24 09:05:00,31.29,26.70,32.09,28.45
01/16/24 09:06:00,31.37,26.76,32.17,28.29
01/16/24 09:07:00,31.50,26.77,32.33,28.56
01/16/24 09:08:00,31.63,26.85,32.49,28.74
01/16/24 09:09:00,31.71,26.90,32.64,28.84
01/16/24 09:10:00,31.86,26.95,32.80,28.93
01/16/24 09:11:00,31.96,27.08,32.96,29.03
01/16/24 09:12:00,32.10,27.05,33.11,29.23
01/16/24 09:13:00,32.17,27.14,33.26,29.37
01/16/24 09:14:00,32.31,27.19,33.43,29.53
01/16/24 09:15:00,32.48,27.27,33.63,29.55
01/16/24 09:16:00,32.57,27.29,33.80,29.81
01/16/24 09:17:00,32.71,27.38,33.98,29.89
01/16/24 09:18:00,32.86,27.43,34.19,30.10
01/16/24 09:19:00,33.03,27.48,34.35,29.98
