"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654195, LBL: T 3p)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3A)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3iv)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3ev)"
12/30/23 08:00:00,43.90,40.43,34.82,30.72
12/30/23 08:01:00,44.38,40.80,35.23,31.03
12/30/23 08:02:00,44.67,40.20,35.45,30.71
12/30/23 08:03:00,45.02,41.06,35.93,30.67
12/30/23 08:04:00,43.60,31.75,35.13,23.03
12/30/23 08:05:00,37.26,24.37,33.09,22.73
12/30/23 08:06:00,35.64,24.17,20.50,23.41
12/30/23 08:07:00,33.78,24.62,21.88,23.51
12/30/23 08:08:00,34.13,24.53,22.45,23.11
12/30/23 08:09:00,33.65,24.73,32.80,22.72
12/30/23 08:10:00,32.77,24.92,32.72,29.06
12/30/23 08:11:00,32.34,25.05,32.23,29.75
12/30/23 08:12:00,32.83,25.25,32.03,29.79
12/30/23 08:13:00,32.88,25.36,32.07,30.52
12/30/23 08:14:00,33.09,25.52,32.34,31.26
12/30/23 08:15:00,33.38,25.65,32.75,31.73
12/30/23 08:16:00,33.64,25.82,33.20,32.16
12/30/23 08:17:00,33.98,26.04,33.79,32.65
12/30/23 08:18:00,34.29,26.26,34.35,33.08
12/30/23 08:19:00,34.60,26.50,34.97,33.28
12/30/23 08:20:00,34.92,26.75,35.53,33.81
12/30/23 08:21:00,35.21,27.01,36.08,34.08
12/30/23 08:22:00,35.46,27.40,36.60,34.45
12/30/23 08:23:00,35.63,27.68,37.08,34.91
12/30/23 08:24:00,36.07,30.33,37.50,34.61
12/30/23 08:25:00,34.61,30.40,37.91,34.74
12/30/23 08:26:00,36.63,28.27,38.20,34.91
12/30/23 08:27:00,36.86,28.51,38.49,34.99
12/30/23 08:28:00,37.06,28.82,38.80,35.34
12/30/23 08:29:00,37.21,29.05,38.95,35.18
12/30/23 08:30:00,37.38,29.30,39.09,35.11
12/30/23 08:31:00,37.56,29.58,39.25,35.38
12/30/23 08:32:00,37.75,29.77,39.43,35.59
12/30/23 08:33:00,38.01,29.99,39.61,35.67
12/30/23 08:34:00,38.17,30.27,39.83,36.06
12/30/23 08:35:00,38.46,30.49,40.04,36.45
12/30/23 08:36:00,38.67,30.68,40.29,36.87
12/30/23 08:37:00,38.97,30.91,40.56,37.09
12/30/23 08:38:00,39.19,31.20,40.81,37.46
12/30/23 08:39:00,39.43,31.44,41.08,37.66
12/30/23 08:40:00,39.72,31.67,41.40,37.85
12/30/23 08:41:00,39.96,31.92,41.65,37.54
12/30/23 08:42:00,40.31,32.18,41.85,37.74
12/30/23 08:43:00,40.61,32.40,42.10,38.09
12/30/23 08:44:00,40.91,32.67,42.41,38.45
12/30/23 08:45:00,41.20,32.92,42.78,39.02
12/30/23 08:46:00,41.55,33.51,43.05,39.24
12/30/23 08:47:00,41.90,33.41,43.33,39.34
12/30/23 08:48:00,42.27,33.64,43.70,39.66
12/30/23 08:49:00,42.64,33.92,44.01,40.02
12/30/23 08:50:00,42.89,34.15,44.39,40.38
12/30/23 08:51:00,43.21,34.51,44.67,40.28
12/30/23 08:52:00,43.55,34.81,45.00,40.82
12/30/23 08:53:00,43.90,35.00,45.28,40.61
12/30/23 08:54:00,44.15,35.29,45.56,41.04
12/30/23 08:55:00,44.45,35.58,45.84,41.30
12/30/23 08:56:00,42.71,38.90,46.14,41.62
12/30/23 08:57:00,44.37,36.99,46.41,41.82
