"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654195, LBL: T 3p)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3c)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3iv)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3ev)"
12/26/23 11:00:00,116.07,104.26,95.27,39.62
12/26/23 11:01:00,116.51,104.46,95.38,38.75
12/26/23 11:02:00,116.73,104.91,95.44,38.25
12/26/23 11:03:00,116.84,104.77,95.37,40.77
12/26/23 11:04:00,116.98,105.25,95.52,38.29
12/26/23 11:05:00,117.16,105.81,95.72,39.22
12/26/23 11:06:00,117.19,105.62,95.67,39.63
12/26/23 11:07:00,117.45,106.14,95.93,40.60
12/26/23 11:08:00,117.88,106.35,96.16,40.11
12/26/23 11:09:00,118.25,106.69,96.63,41.60
12/26/23 11:10:00,118.72,107.08,96.89,40.21
12/26/23 11:11:00,119.14,107.86,97.06,38.21
12/26/23 11:12:00,119.36,107.69,97.24,40.88
12/26/23 11:13:00,119.53,107.28,96.98,40.80
12/26/23 11:14:00,119.39,107.55,96.67,41.75
12/26/23 11:15:00,119.29,106.96,96.43,39.73
12/26/23 11:16:00,118.90,106.30,96.09,39.77
12/26/23 11:17:00,118.43,105.94,95.46,39.85
12/26/23 11:18:00,118.09,105.55,95.32,60.41
12/26/23 11:19:00,117.79,105.74,95.32,59.44
12/26/23 11:20:00,117.79,106.51,95.80,62.23
12/26/23 11:21:00,118.27,106.76,96.33,62.42
12/26/23 11:22:00,118.80,107.90,96.85,63.45
12/26/23 11:23:00,119.38,107.84,96.87,64.14
12/26/23 11:24:00,119.76,108.44,96.85,64.32
12/26/23 11:25:00,120.14,108.46,97.22,63.40
12/26/23 11:26:00,120.66,109.06,97.36,64.10
12/26/23 11:27:00,121.03,109.36,97.99,63.88
12/26/23 11:28:00,121.57,109.49,98.22,64.67
12/26/23 11:29:00,122.04,110.57,98.48,63.79
12/26/23 11:30:00,122.50,109.95,98.64,63.63
12/26/23 11:31:00,122.85,110.55,98.70,63.92
12/26/23 11:32:00,123.14,110.71,98.94,64.40
12/26/23 11:33:00,123.60,111.61,99.33,64.69
12/26/23 11:34:00,124.00,111.99,99.66,64.40
12/26/23 11:35:00,124.16,112.61,99.84,65.12
12/26/23 11:36:00,124.41,112.52,99.95,65.32
12/26/23 11:37:00,124.62,111.65,100.11,65.62
12/26/23 11:38:00,124.72,112.11,99.94,66.26
12/26/23 11:39:00,124.15,110.01,98.37,66.24
12/26/23 11:40:00,122.57,107.72,96.52,64.69
12/26/23 11:41:00,120.90,106.31,95.18,63.32
12/26/23 11:42:00,119.18,104.84,93.97,62.58
12/26/23 11:43:00,117.99,105.09,93.89,62.57
12/26/23 11:44:00,117.13,104.99,93.43,62.69
12/26/23 11:45:00,116.62,104.63,93.38,63.35
12/26/23 11:46:00,116.50,104.88,93.63,62.55
12/26/23 11:47:00,116.86,105.91,94.06,62.53
12/26/23 11:48:00,117.33,105.94,94.47,62.29
12/26/23 11:49:00,117.78,106.18,94.71,63.02
12/26/23 11:50:00,118.25,106.76,95.01,62.09
12/26/23 11:51:00,118.61,106.38,94.88,61.74
12/26/23 11:52:00,118.98,107.17,95.33,61.47
12/26/23 11:53:00,119.48,107.37,95.55,61.17
12/26/23 11:54:00,119.84,107.83,95.64,61.79
12/26/23 11:55:00,120.14,108.64,95.89,62.74
12/26/23 11:56:00,120.57,108.36,96.28,62.79
12/26/23 11:57:00,121.10,108.19,96.80,62.84
12/26/23 11:58:00,121.58,109.12,97.12,63.25
12/26/23 11:59:00,121.48,108.54,96.76,63.10
12/26/23 12:00:00,121.66,107.88,96.69,62.55
12/26/23 12:01:00,121.28,108.26,96.20,63.17
12/26/23 12:02:00,121.03,107.59,96.04,62.52
12/26/23 12:03:00,120.54,107.53,95.49,62.62
12/26/23 12:04:00,120.01,106.28,95.07,62.08
12/26/23 12:05:00,119.23,105.55,94.27,62.39
12/26/23 12:06:00,118.43,105.58,93.86,62.32
12/26/23 12:07:00,118.01,105.35,93.75,61.71
12/26/23 12:08:00,117.71,105.08,93.72,61.45
12/26/23 12:09:00,117.02,103.11,93.27,59.35
12/26/23 12:10:00,116.70,103.31,92.85,59.28
12/26/23 12:11:00,116.30,102.83,92.92,58.77
12/26/23 12:12:00,116.14,102.74,93.06,58.51
12/26/23 12:13:00,116.22,103.08,93.02,59.04
12/26/23 12:14:00,116.23,103.62,92.57,59.04
12/26/23 12:15:00,115.90,102.93,91.92,59.71
12/26/23 12:16:00,115.52,102.73,91.52,60.26
12/26/23 12:17:00,115.16,102.09,91.27,58.86
12/26/23 12:18:00,114.89,102.13,91.09,59.31
12/26/23 12:19:00,114.47,101.02,90.65,58.52
12/26/23 12:20:00,113.75,100.12,89.87,58.40
12/26/23 12:21:00,112.92,99.51,89.21,58.04
12/26/23 12:22:00,112.09,98.73,89.02,57.14
12/26/23 12:23:00,111.59,98.38,88.62,57.94
12/26/23 12:24:00,111.18,98.70,88.40,57.51
12/26/23 12:25:00,110.94,98.73,88.37,57.83
