"Fecha Tiempo, GMT-05:00","Tipo K, °C (SEN S/N: 21654195, LBL: T 3p)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3C)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3iv)","Tipo T, °C (SEN S/N: 21654195, LBL: T 3ev)"
01/05/24 15:00:00,88.96,75.19,59.88,43.49
01/05/24 15:01:00,88.65,75.35,59.73,43.42
01/05/24 15:02:00,88.18,74.16,59.48,42.87
01/05/24 15:03:00,87.99,75.34,59.32,43.88
01/05/24 15:04:00,87.77,75.18,59.18,44.03
01/05/24 15:05:00,87.48,75.15,59.11,44.35
01/05/24 15:06:00,87.26,74.78,58.98,44.19
01/05/24 15:07:00,86.91,74.52,58.92,44.46
01/05/24 15:08:00,86.62,74.32,58.78,44.34
01/05/24 15:09:00,86.27,74.66,58.66,43.98
01/05/24 15:10:00,85.92,73.63,58.51,43.55
01/05/24 15:11:00,85.62,74.22,58.37,43.42
01/05/24 15:12:00,85.28,73.55,58.24,43.18
01/05/24 15:13:00,84.90,73.35,58.05,43.75
01/05/24 15:14:00,84.63,72.67,57.89,42.95
01/05/24 15:15:00,84.28,72.52,57.72,43.00
01/05/24 15:16:00,84.10,73.01,57.62,43.76
01/05/24 15:17:00,83.70,72.34,57.49,42.96
01/05/24 15:18:00,83.37,71.83,57.33,42.68
01/05/24 15:19:00,83.14,72.11,57.21,43.09
01/05/24 15:20:00,82.74,71.43,57.01,42.51
01/05/24 15:21:00,82.50,71.88,56.88,42.90
01/05/24 15:22:00,82.12,70.80,56.69,42.13
01/05/24 15:23:00,81.78,71.55,56.53,42.48
01/05/24 15:24:00,81.47,71.26,56.40,42.45
01/05/24 15:25:00,81.20,71.09,56.27,42.83
01/05/24 15:26:00,80.80,71.16,56.18,42.92
01/05/24 15:27:00,80.31,70.70,56.01,42.54
01/05/24 15:28:00,79.79,70.36,55.99,43.21
01/05/24 15:29:00,79.32,69.65,55.98,43.43
01/05/24 15:30:00,78.78,68.10,55.86,43.02
01/05/24 15:31:00,78.33,67.87,55.75,43.18
01/05/24 15:32:00,77.77,67.72,55.56,43.39
01/05/24 15:33:00,77.31,67.66,55.20,42.96
01/05/24 15:34:00,76.78,66.64,54.74,42.52
01/05/24 15:35:00,76.30,66.68,54.29,41.97
01/05/24 15:36:00,75.81,66.26,53.80,41.19
01/05/24 15:37:00,75.43,66.16,53.33,40.94
01/05/24 15:38:00,74.91,65.66,52.90,40.64
01/05/24 15:39:00,74.43,64.62,52.49,39.93
01/05/24 15:40:00,73.85,64.51,52.02,39.42
01/05/24 15:41:00,73.31,63.68,51.52,38.57
01/05/24 15:42:00,72.67,62.87,50.98,37.44
01/05/24 15:43:00,72.07,62.48,50.45,36.84
01/05/24 15:44:00,71.39,61.62,49.84,36.09
01/05/24 15:45:00,70.85,61.07,49.18,35.50
01/05/24 15:46:00,70.29,60.72,48.57,34.83
01/05/24 15:47:00,69.74,60.67,48.00,34.84
01/05/24 15:48:00,69.27,60.45,47.49,34.53
01/05/24 15:49:00,68.57,59.04,46.94,33.89
01/05/24 15:50:00,68.08,58.43,46.41,33.45
01/05/24 15:51:00,67.58,58.36,45.94,33.36
01/05/24 15:52:00,67.12,58.32,45.49,33.23
01/05/24 15:53:00,66.71,58.17,45.09,33.29
