,T_p1,T_m1,T_vi1,T_ve1,T_p2,T_m2,T_vi2,T_ve2,T_p3,T_m3,T_vi3,T_ve3,To,Ig,WS
2024-01-19 00:00:00,23.76,24.48,21.89,21.28,24.8,25.31,22.27,21.36,22.73,26.64,22.61,21.75,20.609,0.6,0.33
2024-01-19 00:01:00,23.75,24.48,21.92,21.22,24.82,25.33,22.17,21.34,20.93,26.64,22.59,21.75,20.5715,0.6,0.0
2024-01-19 00:02:00,23.73,24.47,21.88,21.18,24.72,25.25,22.15,21.36,18.71,26.62,22.57,21.71,20.5527,0.6,0.33
2024-01-19 00:03:00,23.71,24.47,21.91,21.16,24.7,25.24,22.16,21.35,19.48,26.6,22.58,21.73,20.5366,0.6,0.33
2024-01-19 00:04:00,23.72,24.45,21.87,21.23,24.68,25.19,22.16,21.4,19.79,26.58,22.57,21.79,20.5581,0.6,0.0
2024-01-19 00:05:00,23.69,24.42,21.85,21.24,24.72,25.24,22.1,21.37,19.03,26.57,22.55,21.81,20.5903,0.6,0.0
2024-01-19 00:06:00,23.67,24.42,21.86,21.22,24.7,25.15,22.08,21.39,21.33,26.54,22.52,21.8,20.6224,0.6,0.0
2024-01-19 00:07:00,23.68,24.38,21.89,21.2,24.63,25.18,22.1,21.43,20.86,26.54,22.49,21.81,20.6519,0.6,0.0
2024-01-19 00:08:00,23.64,24.37,21.9,21.23,24.6,25.14,22.11,21.39,20.08,26.49,22.49,21.84,20.6868,0.6,0.0
2024-01-19 00:09:00,23.67,24.37,21.85,21.22,24.6,25.07,22.07,21.4,19.84,26.47,22.5,21.8,20.7055,0.6,0.33
2024-01-19 00:10:00,23.59,24.34,21.84,21.24,24.63,25.1,22.13,21.38,21.49,26.43,22.5,21.79,20.7082,0.6,0.33
2024-01-19 00:11:00,23.64,24.34,21.83,21.19,24.55,25.11,22.08,21.39,20.66,26.45,22.53,21.77,20.6975,0.6,0.33
2024-01-19 00:12:00,23.61,24.28,21.85,21.2,24.6,25.05,22.07,21.4,22.04,26.39,22.53,21.78,20.668,0.6,0.0
2024-01-19 00:13:00,23.6,24.26,21.81,21.2,24.55,25.01,22.07,21.4,17.84,26.38,22.48,21.8,20.6734,0.6,0.0
2024-01-19 00:14:00,23.58,24.26,21.82,21.19,24.53,25.02,22.05,21.33,20.22,26.34,22.47,21.72,20.676,0.6,0.0
2024-01-19 00:15:00,23.55,24.23,21.83,21.19,24.59,25.03,22.07,21.32,20.57,26.32,22.49,21.77,20.6519,0.6,0.0
2024-01-19 00:16:00,23.54,24.22,21.78,21.14,24.49,24.99,22.08,21.3,19.69,26.31,22.47,21.72,20.6332,0.6,0.33
2024-01-19 00:17:00,23.52,24.24,21.77,21.15,24.52,24.95,22.04,21.33,19.5,26.3,22.44,21.71,20.6171,0.6,0.33
2024-01-19 00:18:00,23.48,24.22,21.77,21.16,24.43,24.96,22.03,21.33,18.76,26.26,22.47,21.74,20.6251,0.6,0.0
2024-01-19 00:19:00,23.49,24.16,21.77,21.17,24.42,24.91,22.03,21.32,19.88,26.2,22.43,21.76,20.6626,0.6,0.0
2024-01-19 00:20:00,23.51,24.17,21.76,21.16,24.45,24.97,21.99,21.34,19.46,26.23,22.42,21.77,20.7082,0.6,0.0
