,T_p1,T_m1,T_vi1,T_ve1,T_p2,T_m2,T_vi2,T_ve2,T_p3,T_m3,T_vi3,T_ve3,To,Ig,WS
2024-02-01 00:00:00,23.11,23.59,21.03,20.56,23.52,24.4,21.38,20.93,23.94,26.07,21.84,21.08,20.424,0.6,0.33
2024-02-01 00:01:00,23.09,23.56,21.03,20.53,23.56,24.36,21.41,20.91,23.95,26.02,21.8,21.07,20.4079,0.6,0.33
2024-02-01 00:02:00,23.03,23.59,21.11,20.55,23.54,24.35,21.37,20.93,23.93,26.04,21.79,21.04,20.3919,0.6,0.33
2024-02-01 00:03:00,23.04,23.55,21.1,20.54,23.49,24.33,21.37,20.9,23.91,26.0,21.75,21.02,20.3838,0.6,0.33
2024-02-01 00:04:00,23.02,23.57,20.97,20.49,23.43,24.37,21.35,20.85,23.88,25.98,21.74,21.02,20.3651,0.6,0.67
2024-02-01 00:05:00,23.0,23.51,20.94,20.5,23.52,24.32,21.32,20.87,23.85,25.94,21.72,21.03,20.3516,0.6,0.0
2024-02-01 00:06:00,22.98,23.49,20.96,20.51,23.43,24.28,21.32,20.84,23.84,25.92,21.69,21.04,20.3543,0.6,0.0
2024-02-01 00:07:00,23.05,23.48,20.96,20.53,23.47,24.31,21.3,20.9,23.82,25.95,21.73,21.03,20.3731,0.6,0.0
2024-02-01 00:08:00,22.99,23.53,20.94,20.53,23.45,24.26,21.33,20.85,23.8,25.9,21.69,21.01,20.3919,0.6,0.0
2024-02-01 00:09:00,22.95,23.47,20.93,20.53,23.4,24.25,21.37,20.85,23.8,25.91,21.68,20.97,20.3999,0.6,0.33
2024-02-01 00:10:00,23.0,23.43,20.95,20.56,23.36,24.26,21.25,20.82,23.75,25.88,21.7,21.03,20.3811,0.6,0.0
2024-02-01 00:11:00,22.96,23.45,20.93,20.54,23.36,24.19,21.29,20.89,23.75,25.84,21.66,20.99,20.3838,0.6,0.0
2024-02-01 00:12:00,22.92,23.4,20.9,20.45,23.34,24.19,21.28,20.79,23.7,25.83,21.61,20.99,20.3811,0.6,0.0
2024-02-01 00:13:00,22.98,23.38,20.89,20.46,23.29,24.19,21.23,20.8,23.71,25.8,21.68,21.01,20.3731,0.6,0.33
2024-02-01 00:14:00,22.9,23.38,20.91,20.48,23.31,24.12,21.25,20.77,23.69,25.8,21.68,20.98,20.3651,0.6,0.0
2024-02-01 00:15:00,22.86,23.37,20.91,20.47,23.3,24.14,21.28,20.76,23.68,25.79,21.64,20.97,20.3651,0.6,0.0
2024-02-01 00:16:00,22.88,23.34,20.89,20.48,23.33,24.12,21.2,20.82,23.63,25.77,21.6,20.97,20.3651,0.6,0.0
2024-02-01 00:17:00,22.83,23.31,20.84,20.45,23.34,24.12,21.19,20.75,23.64,25.76,21.59,20.95,20.3731,0.6,0.33
2024-02-01 00:18:00,22.82,23.32,20.87,20.41,23.24,24.09,21.14,20.74,23.62,25.72,21.58,20.92,20.3785,0.6,0.33
2024-02-01 00:19:00,22.81,23.28,20.81,20.37,23.23,24.12,21.12,20.71,23.57,25.71,21.56,20.93,20.3704,0.6,0.0
2024-02-01 00:20:00,22.85,23.3,20.81,20.39,23.24,24.02,21.2,20.73,23.57,25.69,21.56,20.88,20.3865,0.6,0.0
