,T_p1,T_m1,T_vi1,T_ve1,T_p2,T_m2,T_vi2,T_ve2,T_p3,T_m3,T_vi3,T_ve3,To,Ig,WS
2024-01-02 00:00:00,,,,,,,,,,,,,19.0031,0.6,0.0
2024-01-02 00:01:00,,,,,,,,,,,,,19.038,0.6,0.0
2024-01-02 00:02:00,,,,,,,,,,,,,19.0648,0.6,0.33
2024-01-02 00:03:00,,,,,,,,,,,,,19.0675,0.6,0.0
2024-01-02 00:04:00,,,,,,,,,,,,,19.0782,0.6,0.0
2024-01-02 00:05:00,,,,,,,,,,,,,19.0943,0.6,0.0
2024-01-02 00:06:00,,,,,,,,,,,,,19.0969,0.6,0.0
2024-01-02 00:07:00,,,,,,,,,,,,,19.0701,0.6,0.33
2024-01-02 00:08:00,,,,,,,,,,,,,19.0112,0.6,0.0
2024-01-02 00:09:00,,,,,,,,,,,,,18.9817,0.6,0.0
2024-01-02 00:10:00,,,,,,,,,,,,,18.9629,0.6,0.0
2024-01-02 00:11:00,,,,,,,,,,,,,18.9736,0.6,0.33
2024-01-02 00:12:00,,,,,,,,,,,,,18.987,0.6,0.33
2024-01-02 00:13:00,,,,,,,,,,,,,18.979,0.6,0.0
2024-01-02 00:14:00,,,,,,,,,,,,,18.979,0.6,0.0
2024-01-02 00:15:00,,,,,,,,,,,,,18.9656,0.6,0.33
2024-01-02 00:16:00,,,,,,,,,,,,,18.9549,0.6,0.33
2024-01-02 00:17:00,,,,,,,,,,,,,18.9334,0.6,0.33
2024-01-02 00:18:00,,,,,,,,,,,,,18.9173,0.6,0.33
2024-01-02 00:19:00,,,,,,,,,,,,,18.8932,0.6,0.33
2024-01-02 00:20:00,,,,,,,,,,,,,18.8798,0.6,0.33
2024-01-02 00:21:00,,,,,,,,,,,,,18.8744,0.6,0.33
2024-01-02 00:22:00,,,,,,,,,,,,,18.8825,0.6,0.33
2024-01-02 00:23:00,,,,,,,,,,,,,18.8905,0.6,0.0
2024-01-02 00:24:00,,,,,,,,,,,,,18.9146,0.6,0.0
2024-01-02 00:25:00,,,,,,,,,,,,,18.9414,0.6,0.0
2024-01-02 00:26:00,,,,,,,,,,,,,18.9629,0.6,0.0
2024-01-02 00:27:00,,,,,,,,,,,,,18.9951,0.6,0.0
2024-01-02 00:28:00,,,,,,,,,,,,,19.0299,0.6,0.0
2024-01-02 00:29:00,,,,,,,,,,,,,19.0889,0.6,0.0
2024-01-02 00:30:00,,,,,,,,,,,,,19.0996,0.6,0.33
2024-01-02 00:31:00,,,,,,,,,,,,,19.0782,0.6,0.0
2024-01-02 00:32:00,,,,,,,,,,,,,19.0755,0.6,0.33
2024-01-02 00:33:00,,,,,,,,,,,,,19.0299,0.6,0.33
2024-01-02 00:34:00,,,,,,,,,,,,,19.0004,0.6,0.33
2024-01-02 00:35:00,,,,,,,,,,,,,18.9709,0.6,0.0
2024-01-02 00:36:00,,,,,,,,,,,,,18.9549,0.6,0.0
2024-01-02 00:37:00,,,,,,,,,,,,,18.9549,0.6,0.0
2024-01-02 00:38:00,,,,,,,,,,,,,18.9388,0.6,0.33
2024-01-02 00:39:00,,,,,,,,,,,,,18.9334,0.6,0.0
2024-01-02 00:40:00,,,,,,,,,,,,,18.9414,0.6,0.0
2024-01-02 00:41:00,,,,,,,,,,,,,18.9549,0.6,0.0
2024-01-02 00:42:00,,,,,,,,,,,,,18.9629,0.6,0.0
2024-01-02 00:43:00,,,,,,,,,,,,,18.987,0.6,0.0
2024-01-02 00:44:00,,,,,,,,,,,,,19.0031,0.6,0.0
2024-01-02 00:45:00,,,,,,,,,,,,,19.0246,0.6,0.0
2024-01-02 00:46:00,,,,,,,,,,,,,19.0406,0.6,0.0
2024-01-02 00:47:00,,,,,,,,,,,,,19.0541,0.6,0.33
